"Item Code","Item Group","Default Unit of Measure","Standard Selling Rate","ID (Barcodes)","Barcode (Barcodes)","Barcode Type (Barcodes)","UOM (Barcodes)","Colour (Variant Attributes)","Attribute Value (Variant Attributes)","Default Warehouse (Item Defaults)"
"FEE-ABA-SET-BYF-M","Co-Ords Abaya Sets","Size",650.0,"n15b1u8c0t","6018782377","CODE-39","Size","","Black With Yellow Flowers","Stores - BAE"
"","","","","","","","","","M - 56",""
"FEE-ABA-SET-BYF-S","Co-Ords Abaya Sets","Size",650.0,"n15d5skbbn","6018782383","CODE-39","Size","","Black With Yellow Flowers","Stores - BAE"
"","","","","","","","","","S - 54",""
"FEE-ABA-SET-BYF-XS","Co-Ords Abaya Sets","Size",650.0,"n12fo0o9i7","6018782337","CODE-39","Size","","Black With Yellow Flowers","Stores - BAE"
"","","","","","","","","","XS - 52",""
"NAW-ABA-SET-SAG-XL","Co-Ords Abaya Sets","Size",650.0,"n0m0mssuht","8218787516","CODE-39","Size","","Sage","Stores - BAE"
"","","","","","","","","","XL - 60",""
"NAW-ABA-SET-SAG-L","Co-Ords Abaya Sets","Size",650.0,"n0jil1gnt9","8218787576","CODE-39","Size","","Sage","Stores - BAE"
"","","","","","","","","","L - 58",""
"NAW-ABA-SET-SAG-M","Co-Ords Abaya Sets","Size",650.0,"n0k4nmgtdg","8218787577","CODE-39","Size","","Sage","Stores - BAE"
"","","","","","","","","","M - 56",""
"NAW-ABA-SET-SAG-S","Co-Ords Abaya Sets","Size",650.0,"n0kh172euo","8218787583","CODE-39","Size","","Sage","Stores - BAE"
"","","","","","","","","","S - 54",""
"NAW-ABA-SET-SAG-XS","Co-Ords Abaya Sets","Size",650.0,"n0n94k7nhv","8218787537","CODE-39","Size","","Sage","Stores - BAE"
"","","","","","","","","","XS - 52",""
"NAW-ABA-SET-CRE-XL","Co-Ords Abaya Sets","Size",650.0,"n0l2vkskj2","8218789616","CODE-39","Size","","Creame","Stores - BAE"
"","","","","","","","","","XL - 60",""
"NAW-ABA-SET-CRE-L","Co-Ords Abaya Sets","Size",650.0,"n0igh71pid","8218789676","CODE-39","Size","","Creame","Stores - BAE"
"","","","","","","","","","L - 58",""
"NAW-ABA-SET-CRE-M","Co-Ords Abaya Sets","Size",650.0,"n0jd64hmdv","8218789677","CODE-39","Size","","Creame","Stores - BAE"
"","","","","","","","","","M - 56",""
"NAW-ABA-SET-CRE-S","Co-Ords Abaya Sets","Size",650.0,"n0jhd10qcf","8218789683","CODE-39","Size","","Creame","Stores - BAE"
"","","","","","","","","","S - 54",""
"NAW-ABA-SET-CRE-XS","Co-Ords Abaya Sets","Size",650.0,"n0m1dutqi9","8218789637","CODE-39","Size","","Creame","Stores - BAE"
"","","","","","","","","","XS - 52",""
"SAT-HAJ-SIN-RGO-MEA","Satin Hijabs","Size",120.0,"mvcn91e8cc","6685484839","CODE-39","Size","","Rose Gold","Stores - BAE"
"","","","","","","","","","70 X 200",""
"SAT-HAJ-SIN-GOL-MEA","Satin Hijabs","Size",120.0,"mvclpratda","6685484039","CODE-39","Size","","Gold","Stores - BAE"
"","","","","","","","","","70 X 200",""
"ZEE-ABA-SET-BWY-DFS","Bayt Girls Collections","Size",500.0,"n3nkc6iuap","8018785059","CODE-39","Size","","Black with Yellow","Stores - BAE"
"","","","","","","","","","13/14",""
"ZEE-ABA-SET-BWY-DFF","Bayt Girls Collections","Size",500.0,"n3nt0l5vjk","8018785068","CODE-39","Size","","Black with Yellow","Stores - BAE"
"","","","","","","","","","11/12",""
"ZEE-ABA-SET-BWY-DFT","Bayt Girls Collections","Size",500.0,"n3m3ep5u33","8018785066","CODE-39","Size","","Black with Yellow","Stores - BAE"
"","","","","","","","","","9/10",""
"ZEE-ABA-SET-BWY-DFY","Bayt Girls Collections","Size",500.0,"","","","","","Black with Yellow","Stores - BAE"
"","","","","","","","","","7/8",""
"ZEE-ABA-SET-BWY-DTS","Bayt Girls Collections","Size",500.0,"n3li7aqga3","8018785001","CODE-39","Size","","Black with Yellow","Stores - BAE"
"","","","","","","","","","5/6",""
"ZEE-ABA-SET-BWY-DTT","Bayt Girls Collections","Size",500.0,"n3l00t2tf7","8018785008","CODE-39","Size","","Black with Yellow","Stores - BAE"
"","","","","","","","","","3/4",""
"ZEE-ABA-SET-BLO-DFS","Bayt Girls Collections","Size",500.0,"n3pe48ecnp","8018784759","CODE-39","Size","","Black With Orange","Stores - BAE"
"","","","","","","","","","13/14",""
"ZEE-ABA-SET-BLO-DFF","Bayt Girls Collections","Size",500.0,"n3qr0fh2oq","8018784768","CODE-39","Size","","Black With Orange","Stores - BAE"
"","","","","","","","","","11/12",""
"ZEE-ABA-SET-BLO-DFT","Bayt Girls Collections","Size",500.0,"n3pl9vd91i","8018784766","CODE-39","Size","","Black With Orange","Stores - BAE"
"","","","","","","","","","9/10",""
"ZEE-ABA-SET-BLO-DFY","Bayt Girls Collections","Size",500.0,"","","","","","Black With Orange","Stores - BAE"
"","","","","","","","","","7/8",""
"ZEE-ABA-SET-BLO-DTS","Bayt Girls Collections","Size",500.0,"n3o80q50nn","8018784701","CODE-39","Size","","Black With Orange","Stores - BAE"
"","","","","","","","","","5/6",""
"ZEE-ABA-SET-BLO-DTT","Bayt Girls Collections","Size",500.0,"n3nfqh1sel","8018784708","CODE-39","Size","","Black With Orange","Stores - BAE"
"","","","","","","","","","3/4",""
"ALM-CAP-SIN-CRE-L","Exclusive Abayas","Size",2250.0,"mk0fj2ggn0","3222489676","CODE-39","Size","","Creame","Stores - BAE"
"","","","","","","","","","L - 58",""
"ALM-CAP-SIN-CRE-M","Exclusive Abayas","Size",2250.0,"mk01edfs44","3222489677","CODE-39","Size","","Creame","Stores - BAE"
"","","","","","","","","","M - 56",""
"ALM-CAP-SIN-CRE-S","Exclusive Abayas","Size",2250.0,"mk12tdof08","3222489683","CODE-39","Size","","Creame","Stores - BAE"
"","","","","","","","","","S - 54",""
"ALM-CAP-SIN-BLK-L","Exclusive Abayas","Size",2250.0,"mju16n6nda","3222481976","CODE-39","Size","","Black","Stores - BAE"
"","","","","","","","","","L - 58",""
"ALM-CAP-SIN-BLK-M","Exclusive Abayas","Size",2250.0,"mjvs2rfqc4","3222481977","CODE-39","Size","","Black","Stores - BAE"
"","","","","","","","","","M - 56",""
"ALM-CAP-SIN-BLK-S","Exclusive Abayas","Size",2250.0,"mjv59v9m3g","3222481983","CODE-39","Size","","Black","Stores - BAE"
"","","","","","","","","","S - 54",""
"ERI-DRE-SET-BEW-M","Exclusive Abayas","Size",1450.0,"mp32ragh52","2697788277","CODE-39","Size","","Blue with White","Stores - BAE"
"","","","","","","","","","M - 56",""
"ERI-DRE-SET-BWW-M","Exclusive Abayas","Size",1450.0,"mp419t8gst","2697783677","CODE-39","Size","","Black with White","Stores - BAE"
"","","","","","","","","","M - 56",""
"ERI-DRE-SET","Exclusive Abayas","Size",1450.0,"mp4vj017kt","269778","CODE-39","Size","","","Stores - BAE"
"","","","","","","","","","",""
"HEZ-ABA-SIN-MGB-L","Glitz n Glam Abayas","Size",1250.0,"n392egb2j3","0918485276","CODE-39","Size","","Mint Green Hand Beaded Abaya","Stores - BAE"
"","","","","","","","","","L - 58",""
"HEZ-ABA-SIN-MGB-M","Glitz n Glam Abayas","Size",1250.0,"n39hv677hi","0918485277","CODE-39","Size","","Mint Green Hand Beaded Abaya","Stores - BAE"
"","","","","","","","","","M - 56",""
"HEZ-ABA-SIN","Glitz n Glam Abayas","Size",1250.0,"n3ani262ro","091848","CODE-39","Size","","","Stores - BAE"
"","","","","","","","","","",""
"LUB-FRO-SIN-PFB-XXL","Farasha / Butterfly Style","Size",1250.0,"n35ojpnabg","9369485284","CODE-39","Size","","Pink with Floral Hand Beadwork","Stores - BAE"
"","","","","","","","","","XXL - 62",""
"LUB-FRO-SIN-PFB-L","Farasha / Butterfly Style","Size",1250.0,"n34ktsqc8h","9369485276","CODE-39","Size","","Pink with Floral Hand Beadwork","Stores - BAE"
"","","","","","","","","","L - 58",""
"LUB-FRO-SIN-PFB-M","Farasha / Butterfly Style","Size",1250.0,"n3482fs581","9369485277","CODE-39","Size","","Pink with Floral Hand Beadwork","Stores - BAE"
"","","","","","","","","","M - 56",""
"LUB-FRO-SIN","Farasha / Butterfly Style","Size",1250.0,"n351419jhu","936948","CODE-39","Size","","","Stores - BAE"
"","","","","","","","","","",""
"AAP-ABA-SIN-STA-M","Zips & Closed Front Abayas","Size",1300.0,"n06vh56777","2018489077","CODE-39","Size","","Standard","Stores - BAE"
"","","","","","","","","","M - 56",""
"AAP-ABA-SIN-STA-S","Zips & Closed Front Abayas","Size",1300.0,"n05v0kpbtg","2018489083","CODE-39","Size","","Standard","Stores - BAE"
"","","","","","","","","","S - 54",""
"AAP-ABA-SIN","Zips & Closed Front Abayas","Size",1300.0,"n0613thta7","201848","CODE-39","Size","","","Stores - BAE"
"","","","","","","","","","",""
"ALB-ABA-SIN-PUR-L","Aswad Premium Collection","Size",1500.0,"n0aco3in1d","5518480976","CODE-39","Size","","Purple","Stores - BAE"
"","","","","","","","","","L - 58",""
"ALB-ABA-SIN-BLK-XXL","Aswad Premium Collection","Size",1500.0,"n09ud1ij3m","5518481984","CODE-39","Size","","Black","Stores - BAE"
"","","","","","","","","","XXL - 62",""
"ALB-ABA-SIN-BLK-XL","Aswad Premium Collection","Size",1500.0,"n0970uf893","5518481916","CODE-39","Size","","Black","Stores - BAE"
"","","","","","","","","","XL - 60",""
"ALB-ABA-SIN-BLK-L","Aswad Premium Collection","Size",1500.0,"n0bndtjkgh","5518481976","CODE-39","Size","","Black","Stores - BAE"
"","","","","","","","","","L - 58",""
"ALB-ABA-SIN-BLK-M","Aswad Premium Collection","Size",1500.0,"n0blmj0mj7","5518481977","CODE-39","Size","","Black","Stores - BAE"
"","","","","","","","","","M - 56",""
"ALB-ABA-SIN-BLK-S","Aswad Premium Collection","Size",1500.0,"n0a1o0dfnm","5518481983","CODE-39","Size","","Black","Stores - BAE"
"","","","","","","","","","S - 54",""
"ALB-ABA-SIN","Aswad Premium Collection","Size",1500.0,"n0cr3amdse","551848","CODE-39","Size","","","Stores - BAE"
"","","","","","","","","","",""
"SOF-ABA-SIN-GGY-L","Bayt Affordables","Size",650.0,"nqt0fieang","1018480776","CODE-39","Size","","Graphite Grey","Stores - BAE"
"","","","","","","","","","L - 58",""
"SOF-ABA-SIN-GGY-M","Bayt Affordables","Size",650.0,"nqt6lggb1l","1018480777","CODE-39","Size","","Graphite Grey","Stores - BAE"
"","","","","","","","","","M - 56",""
"SOF-ABA-SIN-GGY-S","Bayt Affordables","Size",650.0,"nqsnp6go6b","1018480783","CODE-39","Size","","Graphite Grey","Stores - BAE"
"","","","","","","","","","S - 54",""
"SOF-ABA-SIN-GGY-XS","Bayt Affordables","Size",650.0,"nqlno9i47n","1018480737","CODE-39","Size","","Graphite Grey","Stores - BAE"
"","","","","","","","","","XS - 52",""
"SOF-ABA-SIN-GSP-L","Bayt Affordables","Size",650.0,"nqs8gp0am4","1018488076","CODE-39","Size","","Golden Syrup","Stores - BAE"
"","","","","","","","","","L - 58",""
"SOF-ABA-SIN-GSP-M","Bayt Affordables","Size",650.0,"nqrmu2ehun","1018488077","CODE-39","Size","","Golden Syrup","Stores - BAE"
"","","","","","","","","","M - 56",""
"SOF-ABA-SIN-GSP-S","Bayt Affordables","Size",650.0,"nqr89gce4c","1018488083","CODE-39","Size","","Golden Syrup","Stores - BAE"
"","","","","","","","","","S - 54",""
